name,orgnr,email,website,city,gatuadress,postadress,postnummer,postort,full_address,lat,lon,sate_clean,registrerad_datum,registrerad_datum_sort,registrerad_ar,arbetsgivare,f_skatt,moms,fordon_antal,har_fordon,sni,sni_text_clean,sni_antal,bolagsform,status,SNI1,SNI1_text,SNI2,SNI2_text,SNI3,SNI3_text,SNI4,SNI4_text,SNI5,SNI5_text,status_clean,registrerad_datum_clean,sni_kod_clean
Föreningen Norden i Jönköping,8260019982,danold.berg@telia.com,,,Norra Strandgatan 56,553 20 Jönköping,55320,Jönköping,"Norra Strandgatan 56, 55320, Jönköping, Sweden",57.7834972,14.1717057,"Jönköping, Jönköpings län",1999-04-16,1999-04-16,1999.0,Ja,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1999-04-16,94990
Föreningen Teater i Huskvarna,8260018224,info@teaterihuskvarna.se,www.teaterihuskvarna.se,Huskvarna,Södra Parkagatan 10,561 42 Huskvarna,56142,Huskvarna,"Södra Parkagatan 10, 56142, Huskvarna, Sweden",,,"Jönköping, Jönköpings län",1996-04-15,1996-04-15,1996.0,Nej,Nej,Nej,0,Nej,90110,Litterärt skapande och musikkomposition,1,Ideell förening,Aktiv,90110,Litterärt skapande och musikkomposition,,,,,,,,,Aktiv,1996-04-15,90110
G.I.N HC,8025490254,mikael_hyltse@hotmail.com,,Jönköping,Nävergatan 6,554 39 Jönköping,55439,Jönköping,"Nävergatan 6, 55439, Jönköping, Sweden",57.7724004,14.1347734,"Jönköping, Jönköpings län",2024-11-15,2024-11-15,2024.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2024-11-15,93120
Gameboards & Broadswords SYD,8260020923,gobsyd@hotmail.com,www.gobsyd.se,Jönköping,Svavelsticksgränd 7-9,553 15 Jönköping,55315,Jönköping,"Svavelsticksgränd 7-9, 55315, Jönköping, Sweden",57.7853708,14.156038,"Jönköping, Jönköpings län",2000-12-14,2000-12-14,2000.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2000-12-14,94990
Gjuterihistoriska Sällskapet,826001-4090,sgf-ghs@telia.com,www.gjuterihistoriska.se,56146 Huskvarna,Kullgatan 17,561 46 Huskvarna,56146,Huskvarna,"Kullgatan 17, 56146, Huskvarna, Sweden",57.8489173,14.3116278,"Jönköping, Jönköpings län",1989-12-03,1989-12-03,1989.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1989-12-03,94990
Grankärrs Gränsryttare,8265005325,ulrika.pantzar@advisorgruppen.se,www.grankarrsgransryttare.se,GRÄNNA,Grankärr,563 92 Gränna,56392,Gränna,"Grankärr, 56392, Gränna, Sweden",,,"Jönköping, Jönköpings län",2000-04-12,2000-04-12,2000.0,Ja,Nej,Nej,0,Nej,93290,Övrig fritids- och nöjesverksamhet,1,Ideell förening,Aktiv,93290,Övrig fritids- och nöjesverksamhet,,,,,,,,,Aktiv,2000-04-12,93290
Grekiska föreningen i Jönköping Hellas,8025023535,anokatostavros@gmail.com,,Huskvarna,Gjuterigatan 8 B,553 18 Jönköping,55318,Jönköping,"Gjuterigatan 8 B, 55318, Jönköping, Sweden",57.7789565,14.1644234,"Jönköping, Jönköpings län",2016-05-21,2016-05-21,2016.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2016-05-21,94990
Grenna Bluegrass,8260009991,grennabluegrassfestival@gmail.com,,Gränna,Brahegatan 42,563 32 Gränna,56332,Gränna,"Brahegatan 42, 56332, Gränna, Sweden",58.0204332,14.4646219,"Jönköping, Jönköpings län",2007-10-04,2007-10-04,2007.0,Ja,Nej,Nej,0,Nej,90110,Litterärt skapande och musikkomposition,1,Ideell förening,Aktiv,90110,Litterärt skapande och musikkomposition,,,,,,,,,Aktiv,2007-10-04,90110
Grenna Kyrkoparks Vänner,8025435374,lena_jeppsson@hotmail.com,,Gränna,Bergsgatan 18,563 32 Gränna,56332,Gränna,"Bergsgatan 18, 56332, Gränna, Sweden",58.0208703,14.4666941,"Jönköping, Jönköpings län",2023-05-19,2023-05-19,2023.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2023-05-19,94990
Gränna AIS,8260008969,info@grenna-ais.se,https://www.laget.se/grenna_ais,Gränna,Granlunds väg 8,563 31 Gränna,56331,Gränna,"Granlunds väg 8, 56331, Gränna, Sweden",58.0246143,14.4627167,"Jönköping, Jönköpings län",1976-01-01,1976-01-01,1976.0,Ja,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1976-01-01,93120
Gränna Båtklubb,8260013175,info@grannabatklubb.com,www.grannabatklubb.com,Gränna,Hamnen,563 21 Gränna,56321,Gränna,"Hamnen, 56321, Gränna, Sweden",,,"Jönköping, Jönköpings län",1987-08-27,1987-08-27,1987.0,Nej,Nej,Nej,1,Ja,93199,Annan sportverksamhet,1,Ideell förening,Aktiv,93199,Annan sportverksamhet,,,,,,,,,Aktiv,1987-08-27,93199
Gränna Golfklubb,8260012250,kansli@grannagk.se,,Gränna,Västanå Slott,563 92 Gränna,56392,Gränna,"Västanå Slott, 56392, Gränna, Sweden",,,"Jönköping, Jönköpings län",1985-09-24,1985-09-24,1985.0,Ja,Nej,Ja,8,Ja,93112,Drift av golfbanor,2,Ideell förening,Aktiv,93112,Drift av golfbanor,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler",,,,,,,Aktiv,1985-09-24,93112
Gränna Hembygdsförening,8260000974,fam.ivar@telia.com,grennahembygd.se,Gränna,Bergsgatan 39,563 32 Gränna,56332,Gränna,"Bergsgatan 39, 56332, Gränna, Sweden",58.0237537,14.4699402,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1971-01-01,94990
Gränna Missionsförsamlings ungdom,8260010924,hakanpersson@alfa.telenordia.se,,Gränna,Skiftesv 7,563 31 Gränna,56331,Gränna,"Skiftesv 7, 56331, Gränna, Sweden",58.0178804,14.4593933,"Jönköping, Jönköpings län",1984-02-19,1984-02-19,1984.0,Nej,Nej,Nej,0,Nej,94910,Verksamhet i religiösa samfund,1,Ideell förening,Aktiv,94910,Verksamhet i religiösa samfund,,,,,,,,,Aktiv,1984-02-19,94910
Gränna Motorklubb,8260019842,anncla@telia.com,www.grannamk.se,Gränna,Stamseryd 7,563 93 Gränna,56393,Gränna,"Stamseryd 7, 56393, Gränna, Sweden",58.0250583,14.4673146,"Jönköping, Jönköpings län",1999-02-19,1999-02-19,1999.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1999-02-19,93120
Gränna Pensionärsförening PRO,8260011344,brahe47@gmail.com,,Gränna,von Dübens väg 12,563 31 Gränna,56331,Gränna,"von Dübens väg 12, 56331, Gränna, Sweden",58.0212129,14.4606299,"Jönköping, Jönköpings län",1983-04-23,1983-04-23,1983.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1983-04-23,94990
Gränna Pingstförsamling,8260000735,info@grannapingst.se,,Gränna,Brahegatan 75,563 32 Gränna,56332,Gränna,"Brahegatan 75, 56332, Gränna, Sweden",58.0253821,14.4701675,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Ja,Nej,Nej,0,Nej,94910,Verksamhet i religiösa samfund,1,Ideell förening,Aktiv,94910,Verksamhet i religiösa samfund,,,,,,,,,Aktiv,1971-01-01,94910
Gränna Scoutkår,8260021814,camilla.cronholm@gmail.com,www.grannascoutkar.se,Gränna,Överstegränd 6,563 31 Gränna,56331,Gränna,"Överstegränd 6, 56331, Gränna, Sweden",58.0270717,14.4649118,"Jönköping, Jönköpings län",2002-02-04,2002-02-04,2002.0,Nej,Nej,Nej,2,Ja,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2002-02-04,94990
Gränna-Bygdens OK,8260012078,bertil_kjellstrom@hotmail.com,www.grannabygdensok.se,Gränna,Börjes Gårds gränd 6,563 31 Gränna,56331,Gränna,"Börjes Gårds gränd 6, 56331, Gränna, Sweden",,,"Jönköping, Jönköpings län",1985-04-23,1985-04-23,1985.0,Ja,Nej,Nej,1,Ja,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1985-04-23,93120
Grännabygdens Ryttarförening,8260015790,info@gbrf.se,,Gränna,Södra Jorstorp 4,563 91 Gränna,56391,Gränna,"Södra Jorstorp 4, 56391, Gränna, Sweden",58.0065127,14.4659384,"Jönköping, Jönköpings län",1992-02-26,1992-02-26,1992.0,Nej,Nej,Nej,1,Ja,93290,Övrig fritids- och nöjesverksamhet,1,Ideell förening,Aktiv,93290,Övrig fritids- och nöjesverksamhet,,,,,,,,,Aktiv,1992-02-26,93290
Grännabygdens Rödakorskrets,8260020550,tommyredcross@yahoo.com,,Gränna,,,,,Sweden,59.6749712,14.5208584,,,,,,,,0,Nej,,,0,,,,,,,,,,,,,,,
Gräshagens kyrkokör,8025123574,info@grashagenskyrkokor.se,,Jönköping,Diamantgatan 10,554 47 Jönköping,55447,Jönköping,"Diamantgatan 10, 55447, Jönköping, Sweden",57.7940103,14.1239475,"Jönköping, Jönköpings län",2017-11-09,2017-11-09,2017.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2017-11-09,94990
Habo Friidrottsförening 04,8024203682,info@habofriidrott.se,,Habo,Höjdhoppsvägen 23,564 34 Bankeryd,56434,Bankeryd,"Höjdhoppsvägen 23, 56434, Bankeryd, Sweden",57.8524577,14.1386171,"Habo, Jönköpings län",2004-10-14,2004-10-14,2004.0,Ja,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2004-10-14,93120
Hakarps Hembygdsförening,8260013118,hakarpshbf@gmail.com,www.hembygd.se/hakarp,Huskvarna,Stensholmsvägen 1 J,561 39 Huskvarna,56139,Huskvarna,"Stensholmsvägen 1 J, 56139, Huskvarna, Sweden",57.7760438,14.3049631,"Jönköping, Jönköpings län",1987-08-20,1987-08-20,1987.0,Ja,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1987-08-20,94990
Hakarps Ryttarförening,8024361522,hakarpsrf@gmail.com,,Huskvarna,Lekstigen 3,561 40 Huskvarna,56140,Huskvarna,"Lekstigen 3, 56140, Huskvarna, Sweden",57.7850025,14.3074086,"Jönköping, Jönköpings län",2007-04-06,2007-04-06,2007.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2007-04-06,94990
Hakarps Scoutkår,8260012094,scout@telia.com,,Huskvarna,,,,,Sweden,59.6749712,14.5208584,,,,,,,,0,Nej,,,0,,,,,,,,,,,,,,,
Hand till hand,8025268312,khadra_abyan@live.se,,Huskvarna,Oxhagsgatan 105 lgh 1001,561 50 Huskvarna,56150,Huskvarna,"Oxhagsgatan 105 lgh 1001, 56150, Huskvarna, Sweden",57.7918701,14.2739261,"Jönköping, Jönköpings län",2019-10-25,2019-10-25,2019.0,Ja,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2019-10-25,94990
Handikappföreningen Uttern,8260008142,badethfuttern@gmail.com,,Jönköping,Bogla 38,561 61 Tenhult,56161,Tenhult,"Bogla 38, 56161, Tenhult, Sweden",,,"Jönköping, Jönköpings län",1975-01-01,1975-01-01,1975.0,Ja,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1975-01-01,94990
Harmoni Sverige,,,,,,,,,Sweden,59.6749712,14.5208584,,,,,,,,0,Nej,,,0,,,,,,,,,,,,,,,
Harmonisverige i Jönköping,8025464804,Wedi.zfan@gmail.com,,Jönköping,Havsörnsgatan 139 lgh 1102,556 11 Jönköping,55611,Jönköping,"Havsörnsgatan 139 lgh 1102, 55611, Jönköping, Sweden",,,"Jönköping, Jönköpings län",2024-03-01,2024-03-01,2024.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2024-03-01,94990
HC Dalen,8260007086,kansli@hcdalen.se,www.hcdalen.se,Norrahammar,Box 88,562 22 Norrahammar,56222,Norrahammar,"Box 88, 56222, Norrahammar, Sweden",57.7025277,14.1189881,"Jönköping, Jönköpings län",1975-01-01,1975-01-01,1975.0,Ja,Nej,Nej,1,Ja,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1975-01-01,93120
HC HAWKS,8025398820,jonkoping.hawks22@outlook.com,,Jönköping,Ringvägen 22,562 41 Taberg,56241,Taberg,"Ringvägen 22, 56241, Taberg, Sweden",57.6701776,14.0770325,"Jönköping, Jönköpings län",2022-05-27,2022-05-27,2022.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2022-05-27,93120
Heavy Hands Muay Thai Jönköping IF,8024637871,heavyhandsmt@gmail.com,Svenskalag.se/heavyhands,Huskvarna,Marcus Martinsen,561 39 Huskvarna,56139,Huskvarna,"Marcus Martinsen, 56139, Huskvarna, Sweden",57.7918701,14.2739261,"Jönköping, Jönköpings län",2012-01-26,2012-01-26,2012.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2012-01-26,93120
HI TECH JU,8024326467,president.hitech@js.ju.se,,Jönköping,Box 1026,551 11 Jönköping,55111,Jönköping,"Box 1026, 55111, Jönköping, Sweden",,,"Jönköping, Jönköpings län",2006-06-22,2006-06-22,2006.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2006-06-22,94990
Hindu Union Jönköping,8260014140,jayantilalhv@hotmail.com,,Jönköping,Kärrhöksgatan 62,556 14 Jönköping,55614,Jönköping,"Kärrhöksgatan 62, 55614, Jönköping, Sweden",57.7366469,14.1497216,"Jönköping, Jönköpings län",1989-12-24,1989-12-24,1989.0,Nej,Nej,Nej,0,Nej,94910,Verksamhet i religiösa samfund,1,Ideell förening,Aktiv,94910,Verksamhet i religiösa samfund,,,,,,,,,Aktiv,1989-12-24,94910
Hisingstorp Allmänna Innebandyklubb,8025162721,karin@irmaab.se,,Jönköping,,,,,Sweden,59.6749712,14.5208584,,,,,,,,0,Nej,,,0,,,,,,,,,,,,,,,
Hisingstorpsskolans IF,8024366240,mujaga.korajkic@jonkoping.se,,Jönköping,Valhallavägen 36,554 47 Jönköping,55447,Jönköping,"Valhallavägen 36, 55447, Jönköping, Sweden",57.7902155,14.1308585,"Jönköping, Jönköpings län",2007-05-10,2007-05-10,2007.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Avregistrerad 2025-07-11,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Avregistrerad 2025-07-11,2007-05-10,94990
Hofslätts Hembygdsförening,8260018844,https://hofslatt.se/,www.hovslatt.se/hforening/,Jönköping,Hovslätts Skogsväg 18,556 26 Jönköping,55626,Jönköping,"Hovslätts Skogsväg 18, 55626, Jönköping, Sweden",57.7282298,14.1222805,"Jönköping, Jönköpings län",1997-04-23,1997-04-23,1997.0,Ja,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1997-04-23,94990
Hovslätts IBK,8024439708,Stephan.knuthas@gmail.com,,Jönköping,Beckasinvägen 31,556 25 Jönköping,55625,Jönköping,"Beckasinvägen 31, 55625, Jönköping, Sweden",57.7389517,14.1325686,"Jönköping, Jönköpings län",2008-12-11,2008-12-11,2008.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2008-12-11,93120
Hovslätts IK,8260001196,kansli@hovslattsik.se,hovslattsik.se,Jönköping,Idrottsgatan 7,556 26 Jönköping,55626,Jönköping,"Idrottsgatan 7, 55626, Jönköping, Sweden",57.7834835,14.2750266,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Ja,Nej,Ja,1,Ja,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1971-01-01,93120
HSO RSMH Jönköpings Län,8260010130,rsmh.jkplan@telia.com,,Jönköping,Korallvägen 10 A,554 54 Jönköping,55454,Jönköping,"Korallvägen 10 A, 55454, Jönköping, Sweden",57.7853154,14.2204972,"Jönköping, Jönköpings län",1980-01-01,1980-01-01,1980.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1980-01-01,94990
Huskvarna Alliansförsamling,8260001113,pastor@huskvarnaallianskyrka.se,,Huskvarna,Ebbesvägen 10,561 39 Huskvarna,56139,Huskvarna,"Ebbesvägen 10, 56139, Huskvarna, Sweden",57.7793699,14.2971605,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Ja,Nej,Nej,0,Nej,94910,Verksamhet i religiösa samfund,1,Ideell förening,Aktiv,94910,Verksamhet i religiösa samfund,,,,,,,,,Aktiv,1971-01-01,94910
Huskvarna Allmänna Idrottsklubb,8260001279,huskvarna.aik@hotmail.se,https://www.svenskalag.se/huskvarnaaik,Huskvarna,Västra Hasselbacken 8,561 38 Huskvarna,56138,Huskvarna,"Västra Hasselbacken 8, 56138, Huskvarna, Sweden",57.7749558,14.2959757,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1971-01-01,93120
Huskvarna Bågskytteklubb,8260013472,info@huskvarnabk.se,www.huskvarnabk.se,Huskvarna,Holavägen 10 B,561 39 Huskvarna,56139,Huskvarna,"Holavägen 10 B, 56139, Huskvarna, Sweden",57.7800193,14.2990973,"Jönköping, Jönköpings län",1988-02-12,1988-02-12,1988.0,Ja,Nej,Nej,1,Ja,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1988-02-12,93120
Huskvarna Finska Förening,8260010437,huskvarna.ss@gmail.com,,Huskvarna,Stockmakaregatan 5 B,561 31 Huskvarna,56131,Huskvarna,"Stockmakaregatan 5 B, 56131, Huskvarna, Sweden",57.7878959,14.2788882,"Jönköping, Jönköpings län",1981-01-01,1981-01-01,1981.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1981-01-01,94990
Huskvarna Folkdanslag,8260001311,huskvarnafolkdanslag@gmail.com,huskvarnafolkdanslag.se,Jönköping,Broddarp Skogslund 1,571 94 Nässjö,57194,Nässjö,"Broddarp Skogslund 1, 57194, Nässjö, Sweden",,,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Nej,Nej,Nej,0,Nej,93290,Övrig fritids- och nöjesverksamhet,1,Ideell förening,Aktiv,93290,Övrig fritids- och nöjesverksamhet,,,,,,,,,Aktiv,1971-01-01,93290
Huskvarna Fotoklubb,8260012029,sekreterare@huskvarnafotoklubb.se,www.huskvarnafotoklubb.se,Huskvarna,Erik Dahlbergsg 8 B,561 31 Huskvarna,56131,Huskvarna,"Erik Dahlbergsg 8 B, 56131, Huskvarna, Sweden",57.7910583,14.2745227,"Jönköping, Jönköpings län",1985-04-23,1985-04-23,1985.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1985-04-23,94990
Huskvarna Gymnastikförening,8260007789,ekonomihgf@outlook.com,www.huskvarnagf.se,Huskvarna,Alfred Dalinvägen 8,561 31 Huskvarna,56131,Huskvarna,"Alfred Dalinvägen 8, 56131, Huskvarna, Sweden",57.7885142,14.2740051,"Jönköping, Jönköpings län",1975-01-01,1975-01-01,1975.0,Ja,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1975-01-01,93120
Huskvarna Hembygdsförening,8260001469,huskvarnahembygd@gmail.com,,Huskvarna,Kullängsvägen 9,561 46 Huskvarna,56146,Huskvarna,"Kullängsvägen 9, 56146, Huskvarna, Sweden",57.851341,14.3182207,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Ja,Ja,Ja,3,Ja,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1971-01-01,94990
Huskvarna Hundklubb,8260010064,ordforande@huskvarnahundklubb.se,,Jönköping,Hultarp 1,561 91 Huskvarna,56191,Huskvarna,"Hultarp 1, 56191, Huskvarna, Sweden",57.7918701,14.2739261,"Jönköping, Jönköpings län",1980-01-01,1980-01-01,1980.0,Ja,Nej,Nej,0,Nej,93199,Annan sportverksamhet,1,Ideell förening,Aktiv,93199,Annan sportverksamhet,,,,,,,,,Aktiv,1980-01-01,93199
Huskvarna Idrottshistoriska Förening,8260022598,info@huskvarnaidrottshistoriska.se,www.huskvarnaidrottshistoriska.se,Huskvarna,Platåvägen 11,561 35 Huskvarna,56135,Huskvarna,"Platåvägen 11, 56135, Huskvarna, Sweden",57.7877828,14.2941961,"Jönköping, Jönköpings län",2002-08-09,2002-08-09,2002.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Avregistrerad 2026-01-30,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Avregistrerad 2026-01-30,2002-08-09,93120
Huskvarna JaVisst,8024199039,info@huskvarna-javisst.se,,Huskvarna,Vätterslundsgatan 14,553 11 Jönköping,55311,Jönköping,"Vätterslundsgatan 14, 55311, Jönköping, Sweden",57.7979855,14.1472347,"Jönköping, Jönköpings län",2004-09-16,2004-09-16,2004.0,Ja,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2004-09-16,94990
Huskvarna Kanotklubb,8260006765,info@huskvarnakanotklubb.se,https://www.huskvarnakanotklubb.se/,Huskvarna,Stekelvägen 23,561 48 Huskvarna,56148,Huskvarna,"Stekelvägen 23, 56148, Huskvarna, Sweden",57.7680054,14.2687896,"Jönköping, Jönköpings län",1973-01-01,1973-01-01,1973.0,Ja,Nej,Nej,2,Ja,93199,Annan sportverksamhet,1,Ideell förening,Aktiv,93199,Annan sportverksamhet,,,,,,,,,Aktiv,1973-01-01,93199
Huskvarna Kyokushin Karate,8260013977,info@huskvarna-karate.se,huskvarna-karate.se,Huskvarna,Stationsgatan 24,561 33 Huskvarna,56133,Huskvarna,"Stationsgatan 24, 56133, Huskvarna, Sweden",57.7832791,14.2631787,"Jönköping, Jönköpings län",1989-07-30,1989-07-30,1989.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1989-07-30,93120
Huskvarna Motorklubb,8260010825,info@huskvarnamk.se,www.huskvarnamk.se,Norrahammar,Söderåsvägen 50,562 30 Norrahammar,56230,Norrahammar,"Söderåsvägen 50, 56230, Norrahammar, Sweden",57.6932743,14.1018955,"Jönköping, Jönköpings län",1982-01-01,1982-01-01,1982.0,Nej,Nej,Nej,1,Ja,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,1982-01-01,93120
Huskvarna Musikkår,8260017960,gunnar.holmstedt@gmail.com,,Huskvarna,Skolgatan 35,561 35 Huskvarna,56135,Huskvarna,"Skolgatan 35, 56135, Huskvarna, Sweden",57.789251,14.2915392,"Jönköping, Jönköpings län",1995-09-10,1995-09-10,1995.0,Nej,Nej,Nej,0,Nej,90110,Litterärt skapande och musikkomposition,1,Ideell förening,Aktiv,90110,Litterärt skapande och musikkomposition,,,,,,,,,Aktiv,1995-09-10,90110
Huskvarna Musiksällskap,8260016525,pelle.vildapel@hotmail.com,www.huskvarnamusiksallskap.se,Norrahammar,Häradsvägen 27,561 43 Huskvarna,56143,Huskvarna,"Häradsvägen 27, 56143, Huskvarna, Sweden",57.7879731,14.2668337,"Jönköping, Jönköpings län",1993-06-18,1993-06-18,1993.0,Ja,Nej,Nej,0,Nej,90110,Litterärt skapande och musikkomposition,1,Ideell förening,Aktiv,90110,Litterärt skapande och musikkomposition,,,,,,,,,Aktiv,1993-06-18,90110
